Model_series,Dual Sim,VoLTE,5G,Vo5G,Ram,Battery,Foldable Display,Dual Display,External_Memory,Price,company,Inbuilt_memory,fast_charging,Water Drop Notch,with Punch Hole,Processor_,No _of_Rear,No _of_Front,Primary_rear_camera,Primary_front_camera,Number_of_core,pixal_D,PPI
F,1,1,1,0,4.0,6000,0,0,1024.0,9999,samsung,128.0,25.0,1,0,exynos,2,1,50.0,13.0,8,2639.102877873464,399.8640724050703
A,1,1,0,0,2.0,4000,0,0,512.0,9990,samsung,32.0,15.0,0,1,snapdragon,3,1,13.0,8.0,8,1718.1385275931623,268.4591449364316
A,1,1,0,0,4.0,5000,0,0,1024.0,11999,samsung,64.0,25.0,1,0,exynos,4,1,50.0,8.0,8,2639.102877873464,399.8640724050703
F,1,1,0,0,4.0,6000,0,0,1024.0,11999,samsung,64.0,25.0,0,0,helio,4,1,48.0,13.0,8,1754.5369759569046,274.14640249326635
A,1,1,0,0,4.0,5000,0,0,1024.0,11999,samsung,64.0,15.0,1,0,helio,3,1,13.0,5.0,8,1754.5369759569046,269.92876553183146
M,1,1,1,0,6.0,5000,0,0,1024.0,11990,samsung,128.0,15.0,0,0,dimensity,2,1,50.0,5.0,8,1754.5369759569046,269.92876553183146
M,1,1,0,0,4.0,6000,0,0,512.0,11990,samsung,64.0,15.0,1,0,exynos,3,1,48.0,20.0,8,2577.2077913897438,402.68871740464743
A,1,1,0,0,4.0,5000,0,0,1024.0,11990,samsung,64.0,15.0,1,0,helio,4,1,48.0,8.0,8,1718.1385275931623,264.3290042451019
A,1,1,1,0,4.0,5000,0,0,1024.0,11599,samsung,64.0,15.0,0,0,exynos,3,1,50.0,13.0,8,2639.102877873464,399.8640724050703
M,1,1,0,0,6.0,6000,0,0,1024.0,12298,samsung,128.0,15.0,1,0,exynos,3,1,50.0,8.0,8,2631.8054639353572,398.7584036265693
F,1,1,1,0,8.0,6000,0,0,1024.0,14999,samsung,128.0,25.0,0,0,exynos,3,1,50.0,13.0,8,2577.2077913897438,396.4935063676529
F,1,1,1,0,4.0,5000,0,0,1024.0,14999,samsung,128.0,25.0,0,0,snapdragon,3,1,50.0,8.0,8,2639.102877873464,399.8640724050703
F,1,1,0,0,4.0,6000,0,0,1024.0,14999,samsung,64.0,15.0,1,0,exynos,3,1,50.0,8.0,8,2639.102877873464,399.8640724050703
M,1,1,0,0,4.0,5000,0,0,1024.0,14999,samsung,128.0,18.0,0,0,helio,4,1,48.0,13.0,8,1754.5369759569046,274.14640249326635
